drift_type,severity,severity_value,eod,dpd,ece,model,task,replication
covariate,1,1.0,0.0,0.0,0.704418170222197,mlp,extended_stay,2
covariate,1,1.0,0.24146321639387566,0.12484315409053172,0.23888017674688775,logistic_regression,med_change,2
covariate,1,1.0,0.00531696925978975,0.02399930506992587,0.004471949502374468,xgboost,med_change,2
covariate,1,1.0,0.010019269780310956,0.005308428782359714,0.45152330351286285,mlp,med_change,2
covariate,2,1.5,0.34218714426652497,0.33043070533860275,0.7829028259909686,logistic_regression,readmit_30,2
covariate,2,1.5,0.03727361346262378,0.01561297352306136,0.10013930987295484,xgboost,readmit_30,2
covariate,2,1.5,0.0,0.0,0.11012500511267084,mlp,readmit_30,2
covariate,2,1.5,0.0,0.0,0.7044181705040446,logistic_regression,extended_stay,2
covariate,2,1.5,0.5551846106330417,0.5075807831549038,0.39929356307156033,xgboost,extended_stay,2
covariate,2,1.5,0.0,0.0,0.7044181705036348,mlp,extended_stay,2
covariate,2,1.5,0.44086028788397036,0.23374172285219946,0.14879058720823443,logistic_regression,med_change,2
covariate,2,1.5,0.00531696925978975,0.02399930506992587,0.004457236586084129,xgboost,med_change,2
covariate,2,1.5,0.012603249108476332,0.006552983853921631,0.45019403511907596,mlp,med_change,2
label,0,0.15,0.027700411148373405,0.000620943696867049,0.43571807168975496,logistic_regression,readmit_30,2
label,0,0.15,0.016246992174918054,0.00441197787900411,0.031954079330140585,xgboost,readmit_30,2
label,0,0.15,0.0,0.0,0.1345268627831128,mlp,readmit_30,2
label,0,0.15,0.0,0.0,0.8499636209589188,logistic_regression,extended_stay,2
label,0,0.15,0.05700254751719869,0.04106057755864101,0.14664817661482796,xgboost,extended_stay,2
label,0,0.15,0.0,0.0,0.8498960275830372,mlp,extended_stay,2
label,0,0.15,0.07562232134825285,2.7204756180565504e-05,0.1358695198744828,logistic_regression,med_change,2
label,0,0.15,0.38750610053684725,0.02399930506992587,0.32989789341131887,xgboost,med_change,2
label,0,0.15,0.013177159590043924,0.0040638737107977965,0.1404879272684832,mlp,med_change,2
label,1,0.2,0.04014854392845635,0.000620943696867049,0.3858090993180969,logistic_regression,readmit_30,2
label,1,0.2,0.010368707250989977,0.00441197787900411,0.07667307794755537,xgboost,readmit_30,2
label,1,0.2,0.0,0.0,0.1845164914908498,mlp,readmit_30,2
label,1,0.2,0.0,0.0,0.7999739922511818,logistic_regression,extended_stay,2
label,1,0.2,0.05665676605108527,0.04106057755864101,0.09665854790709097,xgboost,extended_stay,2
label,1,0.2,0.0,0.0,0.7999063988753001,mlp,extended_stay,2
label,1,0.2,0.06643997739324745,2.7204756180565504e-05,0.1612538579953558,logistic_regression,med_change,2
label,1,0.2,0.35079077002851955,0.02399930506992587,0.2800880315456848,xgboost,med_change,2
label,1,0.2,0.012185636505055743,0.0040638737107977965,0.18507689892023735,mlp,med_change,2
label,2,0.25,0.0509369256711949,0.000620943696867049,0.3358194706103599,logistic_regression,readmit_30,2
label,2,0.25,0.005181985259288733,0.00441197787900411,0.12405115462572243,xgboost,readmit_30,2
label,2,0.25,0.0,0.0,0.23450612019858677,mlp,readmit_30,2
label,2,0.25,0.0,0.0,0.7499843635434449,logistic_regression,extended_stay,2
label,2,0.25,0.06806755443282797,0.04106057755864101,0.05867693139507894,xgboost,extended_stay,2
label,2,0.25,0.0,0.0,0.7499167701675632,mlp,extended_stay,2
